,name,score
217,样本id_cut_intTarget_2.0_mean/B7_intTarget_1.0_mean,0.0008667688
218,B14_to_A5_intTarget_0.0_mean*A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0008604879
219,A6_intTarget_1.0_mean/B5_intTarget_0.0_mean,0.0008604879
220,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_2.0_mean,0.00085420697
221,样本id_cut_intTarget_0.0_mean/B7_intTarget_0.0_mean,0.00085420697
222,样本id_cut_intTarget_0.0_mean*A10_intTarget_0.0_mean,0.00085420697
223,b14/a1_a3_a4_a19_b1_b12/A5_intTarget_0.0_mean,0.000847926
224,A10_intTarget_0.0_mean*A5_intTarget_0.0_mean,0.000847926
225,样本id_cut_intTarget_1.0_mean*A12_intTarget_0.0_mean,0.000847926
226,样本id_cut_78,0.000847926
227,A10_intTarget_0.0_mean/A5_intTarget_2.0_mean,0.000847926
228,b14/a1_a3_a4_a19_b1_b12/A12_intTarget_0.0_mean,0.000847926
229,样本id_cut_intTarget_1.0_mean*样本id_cut_intTarget_4.0_mean,0.0008416451
230,B9_2_B9_1_B8chengji_intTarget_2.0_mean,0.0008416451
231,A10_intTarget_0.0_mean/A25_intTarget_0.0_mean,0.00083536416
232,A25_intTarget_0.0_mean/B7_intTarget_1.0_mean,0.00082908326
233,样本id_cut_intTarget_0.0_mean/A5_intTarget_1.0_mean,0.00082908326
234,A6_intTarget_1.0_mean/A12_intTarget_1.0_mean,0.00082908326
235,样本id_cut_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_3.0_mean,0.00082908326
236,A17_intTarget_1.0_mean/yb_cut_mean_intTarget_4.0_mean,0.00082908326
237,A10_intTarget_1.0_mean/yb_cut_mean_intTarget_0.0_mean,0.00082908326
238,A5_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_3.0_mean,0.00082908326
239,A10_intTarget_1.0_mean/B5_intTarget_0.0_mean,0.00082908326
240,样本id_cut_intTarget_2.0_mean*A5_intTarget_0.0_mean,0.0008228023
241,A6_intTarget_0.0_mean/A5_intTarget_2.0_mean,0.0008228023
242,样本id_cut_intTarget_3.0_mean/B7_intTarget_0.0_mean,0.0008228023
243,b14/a1_a3_a4_a19_b1_b12/A12_intTarget_1.0_mean,0.0008228023
244,A6_intTarget_0.0_mean/A12_intTarget_0.0_mean,0.0008228023
245,A25_intTarget_0.0_mean*B5_intTarget_1.0_mean,0.00081024045
246,A12_intTarget_0.0_mean/A27_intTarget_1.0_mean,0.00081024045
247,样本id_cut_intTarget_1.0_mean/A6_intTarget_1.0_mean,0.00081024045
248,A25_intTarget_0.0_mean/B5_intTarget_1.0_mean,0.00081024045
249,B4_2_B4_1_B1chengji_intTarget_0.0_mean,0.00081024045
250,A10_intTarget_0.0_mean*B14_to_A5_intTarget_0.0_mean,0.0008039595
251,B10_1_B9_2_B8chengji_intTarget_4.0_mean,0.0008039595
252,A6_intTarget_0.0_mean/B7_intTarget_0.0_mean,0.0008039595
253,A6_intTarget_1.0_mean/A27_intTarget_1.0_mean,0.0008039595
254,样本id_cut_intTarget_1.0_mean*A5_intTarget_2.0_mean,0.0008039595
255,样本id_cut_intTarget_3.0_mean/B5_intTarget_0.0_mean,0.00079767854
256,样本id_cut_intTarget_4.0_mean/B14_to_A5_intTarget_0.0_mean,0.00079767854
257,样本id_cut_32,0.00079767854
258,A25_intTarget_0.0_mean*A27_intTarget_1.0_mean,0.00079767854
259,b14/a1_a3_a4_a19_b1_b12*A17_intTarget_1.0_mean,0.00079139764
260,样本id_cut_intTarget_1.0_mean/B5_intTarget_1.0_mean,0.00079139764
261,b14/a1_a3_a4_a19_b1_b12*A12_intTarget_0.0_mean,0.0007851167
262,A6_intTarget_1.0_mean/A12_intTarget_0.0_mean,0.0007851167
263,B5_intTarget_0.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0007851167
264,A5_intTarget_0.0_mean*A27_intTarget_1.0_mean,0.0007851167
265,B10_2_B10_1_B8chengji_intTarget_2.0_mean,0.0007851167
266,A5_intTarget_2.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0007788358
267,A6_intTarget_1.0_mean*A15_intTarget_1.0_mean,0.0007788358
268,样本id_cut_intTarget_2.0_mean*A5_intTarget_1.0_mean,0.0007788358
269,b14/a1_a3_a4_a19_b1_b12/B7_intTarget_4.0_mean,0.0007788358
270,b14/a1_a3_a4_a19_b1_b12/A6_intTarget_0.0_mean,0.0007788358
271,B14_to_A5_intTarget_0.0_mean/A5_intTarget_1.0_mean,0.0007788358
272,A10_intTarget_1.0_mean/A6_intTarget_1.0_mean,0.00077255483
273,b14/a1_a3_a4_a19_b1_b12/B5_intTarget_0.0_mean,0.00077255483
274,B7_intTarget_1.0_mean/yb_cut_mean_intTarget_0.0_mean,0.00077255483
275,b14/a1_a3_a4_a19_b1_b12/B7_intTarget_0.0_mean,0.00077255483
276,样本id_cut_intTarget_1.0_mean/A15_intTarget_0.0_mean,0.00077255483
277,样本id_cut_intTarget_0.0_mean/A5_intTarget_2.0_mean,0.00077255483
278,A10_intTarget_1.0_mean/A17_intTarget_1.0_mean,0.00077255483
279,b14/a1_a3_a4_a19_b1_b12/A5_intTarget_2.0_mean,0.00077255483
280,A5_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,0.0007662739
281,B14_to_A5_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0007662739
282,A25_intTarget_0.0_mean/B7_intTarget_0.0_mean,0.0007662739
283,样本id_cut_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_3.0_mean,0.0007662739
284,样本id_cut_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_2.0_mean,0.0007662739
285,样本id_cut_intTarget_0.0_mean*样本id_cut_intTarget_3.0_mean,0.0007662739
286,样本id_cut_intTarget_1.0_mean*B7_intTarget_1.0_mean,0.0007662739
287,A5_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0007662739
288,A27_intTarget_1.0_mean/B5_intTarget_1.0_mean,0.000759993
289,A6_intTarget_1.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.000759993
290,A6_6,0.000759993
291,A10_intTarget_1.0_mean/A5_intTarget_1.0_mean,0.000753712
292,A6_intTarget_0.0_mean*A12_intTarget_0.0_mean,0.000753712
293,A25_intTarget_0.0_mean*A5_intTarget_2.0_mean,0.000753712
294,样本id_cut_intTarget_0.0_mean*A6_intTarget_0.0_mean,0.000753712
295,A27_intTarget_1.0_mean*A5_intTarget_2.0_mean,0.000753712
